level,name,shortName,code,leaf,path,displayDescription,displayName,description,displayShortName,featureType,parent,numberOfChildren
"[3,4]","[""Palestine"",""IR - Palestine""]","[""West Bank and Gaza Strip"",""IR - Palestine""]","[""PSE"",""Ento_PS""]","[false,true]","[""/H8RixfF8ugH/yWc1CTszR3s/juBxu3AprlM"",""/Hs0PQkZwh54/tj59TOvhhDA/UvOtZMl67cF/FpWFszBr3JC""]","[""Transmitted by EMRO 01/09/2016"",null]","[""Palestine"",""IR - Palestine""]","[""Transmitted by EMRO 01/09/2016"",null]","[""West Bank and Gaza Strip"",""IR - Palestine""]","[""MULTI_POLYGON"",""NONE""]","[{""name"":""EMR""},{""name"":""Insecticide Resistance-EMRO""}]","[1,0]"
"[3,4]","[""Republic of South Africa"",""IR - South Africa""]","[""South Africa"",""IR - South Africa""]","[""ZAF"",""Ento_ZA""]","[true,false]","[""/H8RixfF8ugH/seHJdofSPcM/lVPoUAKCdmU"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/xrDd0eUcxmZ""]",,"[""Republic of South Africa"",""IR - South Africa""]",,"[""South Africa"",""IR - South Africa""]","[""MULTI_POLYGON"",""NONE""]","[{""name"":""AFR""},{""name"":""Insecticide Resistance-AFRO""}]","[0,5]"
"[3,4]","[""China, Hong Kong Special\r\nAdministrative Region"",""IR - China""]","[""China, Hong Kong SAR"",""IR - China""]","[""HKG"",""Ento_CN""]","[true,false]","[""/H8RixfF8ugH/RA5zxsbittk/myv7amOYTHn"",""/Hs0PQkZwh54/tj59TOvhhDA/oKLCOCbUNuu/ehwTT3D0IIq""]",,"[""China, Hong Kong Special\r\nAdministrative Region"",""IR - China""]",,"[""China, Hong Kong SAR"",""IR - China""]","[""NONE"",""MULTI_POLYGON""]","[{""name"":""WPR""},{""name"":""Insecticide Resistance-WPRO""}]","[0,121]"
"[3,4]","[""Republic of Maldives"",""IR - Maldives""]","[""Maldives"",""IR - Maldives""]","[""MDV"",""Ento_MV""]","[false,true]","[""/H8RixfF8ugH/afomkmfy9xk/FOJUXD6f6lB"",""/Hs0PQkZwh54/tj59TOvhhDA/SAYniFQXmiw/MOZG2czHGbm""]",,"[""Republic of Maldives"",""IR - Maldives""]",,"[""Maldives"",""IR - Maldives""]","[""MULTI_POLYGON"",""NONE""]","[{""name"":""SEAR""},{""name"":""Insecticide Resistance-SEARO""}]","[7,0]"
"[3,4]","[""Syrian Arab Republic"",""IR - Syrian Arab Republic""]","[""Syrian Arab Republic"",""IR - Syrian Arab Republic""]","[""SYR"",""Ento_SY""]","[false,true]","[""/H8RixfF8ugH/yWc1CTszR3s/HDN85xUGB65"",""/Hs0PQkZwh54/tj59TOvhhDA/UvOtZMl67cF/naJpEXoSXUf""]",,"[""Syrian Arab Republic"",""IR - Syrian Arab Republic""]",,"[""Syrian Arab Republic"",""IR - Syrian Arab Republic""]","[""MULTI_POLYGON"",""NONE""]","[{""name"":""EMR""},{""name"":""Insecticide Resistance-EMRO""}]","[14,0]"
"[3,4]","[""Republic of Zambia"",""IR - Zambia""]","[""Zambia"",""IR - Zambia""]","[""ZMB"",""Ento_ZM""]","[true,false]","[""/H8RixfF8ugH/seHJdofSPcM/gb7vWtO7Wjp"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/V53ZtoviI5Y""]",,"[""Republic of Zambia"",""IR - Zambia""]",,"[""Zambia"",""IR - Zambia""]",,"[{""name"":""AFR""},{""name"":""Insecticide Resistance-AFRO""}]","[0,162]"
"[3,4]","[""Togolese Republic"",""IR - Togo""]","[""Togo"",""IR - Togo""]","[""TGO"",""Ento_TG""]",,"[""/H8RixfF8ugH/seHJdofSPcM/WtcZBCTspgM"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/Imr0CJxvPDq""]",,"[""Togolese Republic"",""IR - Togo""]",,"[""Togo"",""IR - Togo""]","[""MULTI_POLYGON"",""NONE""]","[{""name"":""AFR""},{""name"":""Insecticide Resistance-AFRO""}]","[5,10]"
"[3,4]","[""Republic of South Sudan"",""IR - South Sudan""]","[""South Sudan"",""IR - South Sudan""]","[""SSD"",""Ento_SS""]","[false,true]","[""/H8RixfF8ugH/seHJdofSPcM/mhWSEv79IJW"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/riWPIMZzcme""]",,"[""Republic of South Sudan"",""IR - South Sudan""]",,"[""South Sudan"",""IR - South Sudan""]",,"[{""name"":""AFR""},{""name"":""Insecticide Resistance-AFRO""}]","[5,0]"
"[3,4]","[""Republic of Senegal"",""IR - Senegal""]","[""Senegal"",""IR - Senegal""]","[""SEN"",""Ento_SN""]","[true,false]","[""/H8RixfF8ugH/seHJdofSPcM/wj7iV08dvFq"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/wwuLqa4E2vc""]",,"[""Republic of Senegal"",""IR - Senegal""]",,"[""Senegal"",""IR - Senegal""]",,"[{""name"":""AFR""},{""name"":""Insecticide Resistance-AFRO""}]","[0,63]"
"[3,4]","[""Democratic Republic of Sao Tome and Principe"",""IR - Sao Tome and Principe""]","[""Sao Tome and Principe"",""IR - Sao Tome and Principe""]","[""STP"",""Ento_ST""]","[true,false]","[""/H8RixfF8ugH/seHJdofSPcM/FNduj2N3e8s"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/rKAvPHnARgd""]",,"[""Democratic Republic of Sao Tome and Principe"",""IR - Sao Tome and Principe""]",,"[""Sao Tome and Principe"",""IR - Sao Tome and Principe""]",,"[{""name"":""AFR""},{""name"":""Insecticide Resistance-AFRO""}]","[0,21]"
"[3,4]","[""Federal Republic of Nigeria"",""IR - Nigeria""]","[""Nigeria"",""IR - Nigeria""]","[""NGA"",""Ento_NG""]","[true,false]","[""/H8RixfF8ugH/seHJdofSPcM/I3NxIqG7bD4"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/LJjLezeMwkR""]",,"[""Federal Republic of Nigeria"",""IR - Nigeria""]",,"[""Nigeria"",""IR - Nigeria""]",,"[{""name"":""AFR""},{""name"":""Insecticide Resistance-AFRO""}]","[0,117]"
"[3,4]","[""Federal Republic of Nigeria"",""IR - Niger""]","[""Nigeria"",""IR - Niger""]","[""NGA"",""Ento_NE""]","[true,false]","[""/H8RixfF8ugH/seHJdofSPcM/I3NxIqG7bD4"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/OCx1thsnuVR""]",,"[""Federal Republic of Nigeria"",""IR - Niger""]",,"[""Nigeria"",""IR - Niger""]",,"[{""name"":""AFR""},{""name"":""Insecticide Resistance-AFRO""}]","[0,19]"
"[3,4]","[""Republic of Namibia"",""IR - Namibia""]","[""Namibia"",""IR - Namibia""]","[""NAM"",""Ento_NA""]",,"[""/H8RixfF8ugH/seHJdofSPcM/rtLnlu4GUI2"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/UiLQSsIjQDH""]",,"[""Republic of Namibia"",""IR - Namibia""]",,"[""Namibia"",""IR - Namibia""]","[""MULTI_POLYGON"",""NONE""]","[{""name"":""AFR""},{""name"":""Insecticide Resistance-AFRO""}]","[14,50]"
"[3,4]","[""Republic of Mauritius"",""IR - Mauritius""]","[""Mauritius"",""IR - Mauritius""]","[""MUS"",""Ento_MU""]",,"[""/H8RixfF8ugH/seHJdofSPcM/EB4aSZN0eQr"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/UECrkE0Ftw1""]",,"[""Republic of Mauritius"",""IR - Mauritius""]",,"[""Mauritius"",""IR - Mauritius""]","[""MULTI_POLYGON"",""NONE""]","[{""name"":""AFR""},{""name"":""Insecticide Resistance-AFRO""}]","[0,0]"
"[3,4]","[""Islamic Republic of Mauritania"",""IR - Mauritania""]","[""Mauritania"",""IR - Mauritania""]","[""MRT"",""Ento_MR""]","[true,false]","[""/H8RixfF8ugH/seHJdofSPcM/XYpsN5j30R9"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/UznOxWEh3nl""]",,"[""Islamic Republic of Mauritania"",""IR - Mauritania""]",,"[""Mauritania"",""IR - Mauritania""]",,"[{""name"":""AFR""},{""name"":""Insecticide Resistance-AFRO""}]","[0,4]"
"[3,4]","[""Republic of Mali"",""IR - Mali""]","[""Mali"",""IR - Mali""]","[""MLI"",""Ento_ML""]","[true,false]","[""/H8RixfF8ugH/seHJdofSPcM/EubjsxqlA4d"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/FhZlndcyqHL""]",,"[""Republic of Mali"",""IR - Mali""]",,"[""Mali"",""IR - Mali""]",,"[{""name"":""AFR""},{""name"":""Insecticide Resistance-AFRO""}]","[0,44]"
"[3,4]","[""Republic of Liberia"",""IR - Liberia""]","[""Liberia"",""IR - Liberia""]","[""LBR"",""Ento_LR""]","[true,false]","[""/H8RixfF8ugH/seHJdofSPcM/JEHwU064LAj"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/DFo03Ghowdl""]",,"[""Republic of Liberia"",""IR - Liberia""]",,"[""Liberia"",""IR - Liberia""]",,"[{""name"":""AFR""},{""name"":""Insecticide Resistance-AFRO""}]","[0,47]"
"[3,4]","[""Republic of Guinea-Bissau"",""IR - Guinea-Bissau""]","[""Guinea-Bissau"",""IR - Guinea-Bissau""]","[""GNB"",""Ento_GW""]","[true,false]","[""/H8RixfF8ugH/seHJdofSPcM/G9o5ad4oJJX"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/myUo9YLH8Lt""]",,"[""Republic of Guinea-Bissau"",""IR - Guinea-Bissau""]",,"[""Guinea-Bissau"",""IR - Guinea-Bissau""]",,"[{""name"":""AFR""},{""name"":""Insecticide Resistance-AFRO""}]","[0,4]"
"[3,4]","[""Republic of Equatorial Guinea"",""IR - Guinea""]","[""Equatorial Guinea"",""IR - Guinea""]","[""GNQ"",""Ento_GN""]","[true,false]","[""/H8RixfF8ugH/seHJdofSPcM/Fi5lLVwe1Th"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/rxBbxYjkHe3""]",,"[""Republic of Equatorial Guinea"",""IR - Guinea""]",,"[""Equatorial Guinea"",""IR - Guinea""]",,"[{""name"":""AFR""},{""name"":""Insecticide Resistance-AFRO""}]","[0,22]"
"[3,4]","[""Islamic Republic of Gambia"",""IR - Gambia""]","[""Gambia"",""IR - Gambia""]","[""GMB"",""Ento_GM""]","[true,false]","[""/H8RixfF8ugH/seHJdofSPcM/z51rgcc5R8V"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/DGIdSdQwL3u""]",,"[""Islamic Republic of Gambia"",""IR - Gambia""]",,"[""Gambia"",""IR - Gambia""]",,"[{""name"":""AFR""},{""name"":""Insecticide Resistance-AFRO""}]","[0,14]"
"[3,4]","[""Gabonese Republic"",""IR - Gabon""]","[""Gabon"",""IR - Gabon""]","[""GAB"",""Ento_GA""]","[true,false]","[""/H8RixfF8ugH/seHJdofSPcM/EGLpIMSAWhx"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/YLWCPISAHs9""]",,"[""Gabonese Republic"",""IR - Gabon""]",,"[""Gabon"",""IR - Gabon""]",,"[{""name"":""AFR""},{""name"":""Insecticide Resistance-AFRO""}]","[0,8]"
