level,name,shortName,code,leaf,path,displayName,displayShortName,featureType,openingDate,closedDate,parent,attributeValues,numberOfChildren
"[4,5]","[""Kigali City"",""Kigali""]","[""Kigali City"",""Kigali""]","[""RW001002000000000000"",""IRRW17""]","[false,true]","[""/H8RixfF8ugH/seHJdofSPcM/UlQiEogy3wG/ZwmWX8d23ZL"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/ngAdiH8mp0s/d3PVPI8tFUr""]","[""Kigali City"",""Kigali""]","[""Kigali City"",""Kigali""]","[""MULTI_POLYGON"",""POINT""]","[""2000-01-01T00:00:00.000"",""2010-01-01T00:00:00.000""]","[""9999-12-31T00:00:00.000"",null]","[{""name"":""Republic of Rwanda""},{""name"":""IR - Rwanda""}]","[[{""lastUpdated"":""2019-02-20T16:28:25.658"",""created"":""2019-02-20T16:28:25.651"",""value"":""Polio geodatabase, [2019-02-19]"",""attribute"":{""id"":""LmiNNUPlMxI""}}],[]]","[3,0]"
"[4,5]","[""Sari Pul"",""Pul""]","[""Sari Pul"",""Pul""]","[""AFG028"",""IRAF35""]","[false,true]","[""/H8RixfF8ugH/yWc1CTszR3s/oofyLUJJ6Vy/oRXS0SUNaC2"",""/Hs0PQkZwh54/tj59TOvhhDA/UvOtZMl67cF/munxLBQM1ZQ/D1HGnl9ZXT4""]","[""Sari Pul"",""Pul""]","[""Sari Pul"",""Pul""]","[""POLYGON"",""POINT""]","[""1970-01-01T00:00:00.000"",""2011-01-01T00:00:00.000""]",,"[{""name"":""Islamic Republic of  Afghanistan""},{""name"":""IR - Afghanistan""}]",,"[6,0]"
"[4,5]","[""Kakamega County"",""Kakamega""]","[""Kakamega County"",""Kakamega""]","[""KE_37"",""IRKE40""]","[false,true]","[""/H8RixfF8ugH/seHJdofSPcM/HfVjCurKxh2/BjC1xL40gHo"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/ZWqcyBgxN33/w1vaAb9ii7A""]","[""Kakamega County"",""Kakamega""]","[""Kakamega County"",""Kakamega""]","[""POLYGON"",""POINT""]","[""1970-01-01T00:00:00.000"",""2009-01-01T00:00:00.000""]",,"[{""name"":""Republic of Kenya""},{""name"":""IR - Kenya""}]",,"[12,0]"
"[4,5]","[""Homa Bay County"",""Homa Bay""]","[""Homa Bay County"",""Homa Bay""]","[""KE_43"",""IRKE31""]","[false,true]","[""/H8RixfF8ugH/seHJdofSPcM/HfVjCurKxh2/nK0A12Q7MvS"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/ZWqcyBgxN33/H2YqTtCjCPt""]","[""Homa Bay County"",""Homa Bay""]","[""Homa Bay County"",""Homa Bay""]","[""POLYGON"",""POINT""]","[""1970-01-01T00:00:00.000"",""2013-01-01T00:00:00.000""]",,"[{""name"":""Republic of Kenya""},{""name"":""IR - Kenya""}]",,"[8,0]"
"[4,5]","[""Garissa County"",""Gari""]","[""Garissa County"",""Gari""]","[""KE_7"",""IRKE26""]","[false,true]","[""/H8RixfF8ugH/seHJdofSPcM/HfVjCurKxh2/uyOrcHZBpW0"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/ZWqcyBgxN33/pXico4FqoZx""]","[""Garissa County"",""Gari""]","[""Garissa County"",""Gari""]","[""POLYGON"",""POINT""]","[""1970-01-01T00:00:00.000"",""2011-01-01T00:00:00.000""]",,"[{""name"":""Republic of Kenya""},{""name"":""IR - Kenya""}]",,"[7,0]"
"[4,5]","[""Busia County"",""Busia""]","[""Busia County"",""Busia""]","[""KE_40"",""IRKE20""]","[false,true]","[""/H8RixfF8ugH/seHJdofSPcM/HfVjCurKxh2/Tvf1zgVZ0K4"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/ZWqcyBgxN33/z1cmUnH8PtS""]","[""Busia County"",""Busia""]","[""Busia County"",""Busia""]","[""POLYGON"",""POINT""]","[""1970-01-01T00:00:00.000"",""2009-01-01T00:00:00.000""]",,"[{""name"":""Republic of Kenya""},{""name"":""IR - Kenya""}]",,"[7,0]"
"[4,5]","[""Bungoma County"",""Bungoma""]","[""Bungoma County"",""Bungoma""]","[""KE_39"",""IRKE19""]","[false,true]","[""/H8RixfF8ugH/seHJdofSPcM/HfVjCurKxh2/KGHhQ5GLd4k"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/ZWqcyBgxN33/ofNikB4RXYc""]","[""Bungoma County"",""Bungoma""]","[""Bungoma County"",""Bungoma""]","[""POLYGON"",""POINT""]","[""1970-01-01T00:00:00.000"",""2009-01-01T00:00:00.000""]",,"[{""name"":""Republic of Kenya""},{""name"":""IR - Kenya""}]",,"[10,0]"
"[4,5]","[""Brong Ahafo"",""Ahafo""]","[""Brong Ahafo"",""Ahafo""]","[""GHA002"",""IRGH7""]","[false,true]","[""/H8RixfF8ugH/seHJdofSPcM/WC5rU5fLMzY/nyJYcN1DJ0s"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/za2XKP0mwyt/DLJoQ7MfceT""]","[""Brong Ahafo"",""Ahafo""]","[""Brong Ahafo"",""Ahafo""]","[""MULTI_POLYGON"",""POINT""]","[""1970-01-01T00:00:00.000"",""2006-01-01T00:00:00.000""]",,"[{""name"":""Republic of Ghana""},{""name"":""IR - Ghana""}]",,"[27,0]"
"[4,5]","[""Greater Accra"",""Accra""]","[""Greater Accra"",""Accra""]","[""GHA005"",""IRGH3""]","[false,true]","[""/H8RixfF8ugH/seHJdofSPcM/WC5rU5fLMzY/VjsohFgqqGd"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/za2XKP0mwyt/biW3wTDoDO6""]","[""Greater Accra"",""Accra""]","[""Greater Accra"",""Accra""]","[""MULTI_POLYGON"",""POINT""]","[""1970-01-01T00:00:00.000"",""1989-01-01T00:00:00.000""]",,"[{""name"":""Republic of Ghana""},{""name"":""IR - Ghana""}]",,"[16,0]"
"[4,5]","[""Donga"",""Donga""]",,"[""BJ.DO"",""IRBJ42""]","[false,true]","[""/H8RixfF8ugH/seHJdofSPcM/DzAOqCf0ots/W95OYHyetuL"",""/Hs0PQkZwh54/tj59TOvhhDA/HPa9EhcYfjt/kLPdeItiNhr/dUey3jJRniC""]",,,"[""POLYGON"",""POINT""]","[""1970-01-01T00:00:00.000"",""2016-01-01T00:00:00.000""]",,"[{""name"":""Republic of Benin""},{""name"":""IR - Benin""}]",,"[4,0]"
